,GLA,REIT,city,free_GLA,last_renovation,ownership,pct_lease,property_name,renovation_year,rent_per_sq,state,tenants,year_acquired,year_built,year_built_or_acquired,zipcode
606,943945.0,GGP,Savannah,407361.0,,100.0,98.2,Oglethorpe Mall,,,GA,"[""Belk, JCPenney, Macy's, Sears""]",,,,
607,918536.0,GGP,Louisville,351326.0,,94.0,95.5,Oxmoor Center,,,KY,"[""Macy's, Sears, Von Maur""]",,,,
608,764996.0,GGP,Paramus,305939.0,,100.0,100.0,Paramus Park,,,NJ,"[""Macy's, Sears""]",,,,
609,1437839.0,GGP,Lancaster,534674.0,,100.0,96.5,Park City Center,,,PA,"[""Bon Ton, Boscov's, JCPenney, Kohl's, Sears""]",,,,
610,1053695.0,GGP,Tucson,472238.0,,100.0,99.3,Park Place,,,AZ,"[""Dillard's, Macy's, Sears""]",,,,
611,815553.0,GGP,Columbus,380338.0,,100.0,98.2,Peachtree Mall,,,GA,"[""Dillard's, JCPenney, Macy's""]",,,,
612,963268.0,GGP,Monroe,347832.0,,100.0,97.0,Pecanland Mall,,,LA,"[""Belk, Burlington Coat Factory, Dillard's,"", 'JCPenney, Sears']",,,,
613,1135670.0,GGP,Pembroke Pines,354395.0,,100.0,96.7,Pembroke Lakes Mall,,,FL,"[""Dillard's, Dillard's Men's & Home, JCPenney,"", ""Macy's, Macy's Home Store, Sears""]",,,,
614,310331.0,GGP,Portland,310331.0,,100.0,99.0,Pioneer Place,,,OR,[nan],,,,
615,495241.0,GGP,Hilo,258821.0,,100.0,93.1,Prince Kuhio Plaza,,,HI,"[""Macy's, Sears""]",,,,
616,1241729.0,GGP,Providence,723609.0,,94.0,99.0,Providence Place,,,RI,"[""Macy's, Nordstrom""]",,,,
617,1116211.0,GGP,Oklahoma City,450615.0,,100.0,95.3,Quail Springs Mall,,,OK,"[""Dillard's, JCPenney, Von Maur""]",,,,
618,433279.0,GGP,St. George,140944.0,,100.0,97.2,Red Cliffs Mall,,,UT,"[""Dillard's, JCPenney, Sears""]",,,,
619,1173773.0,GGP,Minnetonka,372833.0,,100.0,92.6,Ridgedale Center,,,MN,"[""JCPenney, Macy's, Sears, Nordstrom""]",,,,
620,1478101.0,GGP,Hoover (Birmingham),538043.0,,76.0,99.5,Riverchase Galleria,,,AL,"[""Belk, JCPenney, Macy's, Sears, Von Maur""]",,,,
621,716224.0,GGP,Mankato,352282.0,,100.0,96.1,River Hills Mall,,,MN,"[""Herberger's, JCPenney, Sears, Target""]",,,,
622,1258813.0,GGP,Grandville (Grand Rapids),623188.0,,100.0,96.9,Rivertown Crossings,,,MI,"[""JCPenney, Kohl's, Macy's, Sears, Younkers""]",,,,
623,504308.0,GGP,Norman,237403.0,,100.0,95.5,Sooner Mall,,,OK,"[""Dillard's, JCPenney, Sears""]",,,,
